speaker,utterance,word,cons,annotation,duration,start_time,end_time
d6,cf,2018_07_16_D6_stops_дзакIьA_край,кIь,cd,74.24852526016679,33.63773432863901,33.71198285389918
d6,cf,2018_07_16_D6_stops_дзакIьA_край,кIь,vot,46.40532828760513,33.71198285389918,33.758388182186785
d6,cf,2018_07_16_D6_stops_дзакIьA_край,,v2,122.20069782403442,33.758388182186785,33.88058888001082
d6,u1,2018_07_16_D6_stops_жAкIьа_борода,,v1,211.57135742667776,41.79230469760779,42.00387605503447
d6,u1,2018_07_16_D6_stops_жAкIьа_борода,кIь,cd,80.34355345317579,42.00387605503447,42.08421960848764
d6,u1,2018_07_16_D6_stops_жAкIьа_борода,,vot,62.188554777669935,42.08421960848764,42.14640816326531
d6,u1,2018_07_16_D6_stops_жAкIьа_борода,,v2,131.97503273415379,42.14640816326531,42.27838319599947
d6,u2,2018_07_16_D6_stops_жAкIьа_борода,,v1,206.21512052979796,42.962465820786605,43.1686809413164
d6,u2,2018_07_16_D6_stops_жAкIьа_борода,кIь,cd,66.95296121097982,43.1686809413164,43.23563390252738
d6,u2,2018_07_16_D6_stops_жAкIьа_борода,кIь,vot,42.84989517501714,43.23563390252738,43.2784837977024
d6,u2,2018_07_16_D6_stops_жAкIьа_борода,,v2,160.68710690634447,43.2784837977024,43.439170904608744
d6,u3,2018_07_16_D6_stops_жAкIьа_борода,,v1,159.34804768211563,43.94680937423977,44.106157421921885
d6,u3,2018_07_16_D6_stops_жAкIьа_борода,кIь,cd,66.95296121097982,44.106157421921885,44.173110383132865
d6,u3,2018_07_16_D6_stops_жAкIьа_борода,кIь,vot,41.29778013243879,44.173110383132865,44.214408163265304
d6,u3,2018_07_16_D6_stops_жAкIьа_борода,,v2,81.89566849575414,44.214408163265304,44.29630383176106
d6,cf,2018_07_16_D6_stops_жAкIьа_борода,,v1,85.92296688741641,45.14750666846872,45.23342963535614
d6,cf,2018_07_16_D6_stops_жAкIьа_борода,кIь,cd,53.56236896877675,45.23342963535614,45.286992004324915
d6,cf,2018_07_16_D6_stops_жAкIьа_борода,кIь,vot,53.56236896878386,45.286992004324915,45.3405543732937
d6,cf,2018_07_16_D6_stops_жAкIьа_борода,,v2,58.025899716177776,45.3405543732937,45.39858027300988
d6,u1,2018_07_16_D6_stops_жакIьAдз_удочка,,v1,66.5239765373613,47.51188418672795,47.57840816326531
d6,u1,2018_07_16_D6_stops_жакIьAдз_удочка,кIь,cd,114.12588684957825,47.57840816326531,47.69253405011489
d6,u1,2018_07_16_D6_stops_жакIьAдз_удочка,кIь,vot,46.282196404924036,47.69253405011489,47.73881624651981
d6,u1,2018_07_16_D6_stops_жакIьAдз_удочка,,v2,186.62175969725325,47.73881624651981,47.925438006217064
d6,u2,2018_07_16_D6_stops_жакIьAдз_удочка,,v1,79.2353665089891,48.738123230058115,48.817358596567104
d6,u2,2018_07_16_D6_stops_жакIьAдз_удочка,кIь,cd,92.44126092715277,48.817358596567104,48.90979985749426
d6,u2,2018_07_16_D6_stops_жакIьAдз_удочка,кIь,vot,33.615003973508806,48.90979985749426,48.943414861467765
d6,u2,2018_07_16_D6_stops_жакIьAдз_удочка,,v2,162.07234058656184,48.943414861467765,49.10548720205433
d6,u3,2018_07_16_D6_stops_жакIьAдз_удочка,,v1,110.5262561967848,49.748867482849036,49.85939373904582
d6,u3,2018_07_16_D6_stops_жакIьAдз_удочка,кIь,cd,95.10398789025487,49.85939373904582,49.954497726936076
d6,u3,2018_07_16_D6_stops_жакIьAдз_удочка,кIь,vot,60.40388420056786,49.954497726936076,50.014901611136644
d6,u3,2018_07_16_D6_stops_жакIьAдз_удочка,,v2,149.08192696310607,50.014901611136644,50.16398353809975
d6,cf,2018_07_16_D6_stops_жакIьAдз_удочка,,v1,69.07504030750289,50.89961054325329,50.96868558356079
d6,cf,2018_07_16_D6_stops_жакIьAдз_удочка,кIь,cd,78.28504568183803,50.96868558356079,51.04697062924263
d6,cf,2018_07_16_D6_stops_жакIьAдз_удочка,кIь,vot,34.537520153755,51.04697062924263,51.081508149396385
d6,cf,2018_07_16_D6_stops_жакIьAдз_удочка,,v2,90.94880307154085,51.081508149396385,51.172456952467925
d6,u1,2018_07_16_D6_stops_кIaкIAн_орех,,v1,103.97032109497673,53.75294652724662,53.8569168483416
d6,u1,2018_07_16_D6_stops_кIaкIAн_орех,кI,cd,84.81789352484981,53.8569168483416,53.94173474186645
d6,u1,2018_07_16_D6_stops_кIaкIAн_орех,кI,vot,41.95293658218446,53.94173474186645,53.98368767844863
d6,u1,2018_07_16_D6_stops_кIaкIAн_орех,,v2,194.26033678272603,53.98368767844863,54.17794801523136
d6,u2,2018_07_16_D6_stops_кIaкIAн_орех,,v1,130.16220373518905,54.84394439572668,54.97410659946187
d6,u2,2018_07_16_D6_stops_кIaкIAн_орех,кI,cd,88.71390422174841,54.97410659946187,55.06282050368362
d6,u2,2018_07_16_D6_stops_кIaкIAн_орех,кI,vot,55.99156250060844,55.06282050368362,55.118812066184226
d6,u2,2018_07_16_D6_stops_кIaкIAн_орех,,v2,170.15617694990937,55.118812066184226,55.288968243134136
d6,u3,2018_07_16_D6_stops_кIaкIAн_орех,,v1,94.479874302003,55.86058172087072,55.95506159517272
d6,u3,2018_07_16_D6_stops_кIaкIAн_орех,кI,cd,102.35319716050384,55.95506159517272,56.057414792333226
d6,u3,2018_07_16_D6_stops_кIaкIAн_орех,кI,vot,47.239937150997946,56.057414792333226,56.104654729484224
d6,u3,2018_07_16_D6_stops_кIaкIAн_орех,,v2,143.75343378108596,56.104654729484224,56.24840816326531
d6,cf,2018_07_16_D6_stops_кIaкIAн_орех,,v1,70.92396442762805,57.41315481984052,57.48407878426815
d6,cf,2018_07_16_D6_stops_кIaкIAн_орех,кI,cd,108.329378997162,57.48407878426815,57.59240816326531
d6,cf,2018_07_16_D6_stops_кIaкIAн_орех,кI,vot,23.175471712391982,57.59240816326531,57.6155836349777
d6,cf,2018_07_16_D6_stops_кIaкIAн_орех,,v2,135.9375984862794,57.6155836349777,57.75152123346398
d6,u1,2018_07_16_D6_stops_кIата_сеть,,v1,94.91213166181467,60.402791377606135,60.49770350926795
d6,u1,2018_07_16_D6_stops_кIата_сеть,т,cd,114.2032153329211,60.49770350926795,60.61190672460087
d6,u1,2018_07_16_D6_stops_кIата_сеть,т,vot,46.298600810644075,60.61190672460087,60.658205325411515
d6,u1,2018_07_16_D6_stops_кIата_сеть,,v2,242.68183258244846,60.658205325411515,60.900887157993964
d6,u2,2018_07_16_D6_stops_кIата_сеть,,v1,96.05202527193768,61.372595181868924,61.46864720714086
d6,u2,2018_07_16_D6_stops_кIата_сеть,т,cd,108.05852843093078,61.46864720714086,61.57670573557179
d6,u2,2018_07_16_D6_stops_кIата_сеть,т,vot,51.70242769352029,61.57670573557179,61.62840816326531
d6,u2,2018_07_16_D6_stops_кIата_сеть,,v2,182.0908699301853,61.62840816326531,61.8104990331955
d6,u3,2018_07_16_D6_stops_кIата_сеть,,v1,77.18413180062811,62.301048957055315,62.37823308885594
d6,u3,2018_07_16_D6_stops_кIата_сеть,т,cd,119.73435830610413,62.37823308885594,62.49796744716205
d6,u3,2018_07_16_D6_stops_кIата_сеть,т,vot,54.42470832095836,62.49796744716205,62.552392155483005
d6,u3,2018_07_16_D6_stops_кIата_сеть,,v2,120.72389845739195,62.552392155483005,62.6731160539404
d6,cf,2018_07_16_D6_stops_кIата_сеть,,v1,55.563262062435115,63.40806215758888,63.463625419651315
d6,cf,2018_07_16_D6_stops_кIата_сеть,т,cd,87.73146641438245,63.463625419651315,63.5513568860657
d6,cf,2018_07_16_D6_stops_кIата_сеть,т,vot,43.86573320719123,63.5513568860657,63.59522261927289
d6,cf,2018_07_16_D6_stops_кIата_сеть,,v2,114.05090633869719,63.59522261927289,63.709273525611586
d6,u1,2018_07_16_D6_stops_кIватан_плуг,,v1,98.19767644276567,65.80524606676578,65.90344374320854
d6,u1,2018_07_16_D6_stops_кIватан_плуг,т,cd,152.3757048249763,65.90344374320854,66.05581944803352
d6,u1,2018_07_16_D6_stops_кIватан_плуг,т,vot,66.02947209083254,66.05581944803352,66.12184892012435
d6,u1,2018_07_16_D6_stops_кIватан_плуг,,v2,160.84102175969406,66.12184892012435,66.28268994188404
d6,u2,2018_07_16_D6_stops_кIватан_плуг,,v1,88.9586584423796,67.03240816326532,67.1213668217077
d6,u2,2018_07_16_D6_stops_кIватан_плуг,т,cd,129.06831207570235,67.1213668217077,67.2504351337834
d6,u2,2018_07_16_D6_stops_кIватан_плуг,т,vot,45.400913795461406,67.2504351337834,67.29583604757886
d6,u2,2018_07_16_D6_stops_кIватан_плуг,,v2,162.14612069811096,67.29583604757886,67.45798216827697
d6,u3,2018_07_16_D6_stops_кIватан_плуг,,v1,98.84713592751382,68.05405544132361,68.15290257725113
d6,u3,2018_07_16_D6_stops_кIватан_плуг,т,cd,110.55192221533616,68.15290257725113,68.26345449946646
d6,u3,2018_07_16_D6_stops_кIватан_плуг,т,vot,44.98695343531267,68.26345449946646,68.30844145290178
d6,u3,2018_07_16_D6_stops_кIватан_плуг,,v2,155.96671036354337,68.30844145290178,68.46440816326532
d6,cf,2018_07_16_D6_stops_кIватан_плуг,,v1,53.6393263954551,69.50014406487364,69.55378339126909
